,id,PositiveTail 1,PositiveTail 2,PositiveTail 3,PositiveTail 4,PositiveTail 5,PositiveTail 6,PositiveTail 7
84,17204823-1,0.004522379022091627,0.00036876241210848093,0.006234481930732727,1.3642774376876332e-07,0.0,5.656887935856503e-08,0.003192154224961996
85,17449068-1,0.002250074874609709,0.002509341575205326,0.0012428585905581713,0.0027520821895450354,5.474594111376518e-09,0.0033883671276271343,4.7083918985890705e-08
86,17572110-1,0.005236565135419369,0.006123911123722792,0.0036169567611068487,0.008261281065642834,0.006381098181009293,7.831532116142625e-07,0.016862723976373672
87,17631361-1,0.006654649041593075,0.00854491163045168,0.0004121860256418586,0.009869792498648167,0.017553269863128662,0.008733294904232025,0.007252957671880722
88,17644222-1,0.0,0.00023558315297123045,0.0,0.0,0.0,0.0,0.0
89,17651006-1,0.0017172731459140778,0.010312473401427269,3.860510332742706e-06,0.0,0.0007813585689291358,0.0034962890204042196,0.011966110207140446
90,17689983-1,0.0008674394339323044,0.0,3.094764906563796e-07,0.0,0.0026889576110988855,0.0,0.0
91,17711573-1,0.004933184944093227,0.006354248616844416,0.003751520998775959,0.013252669014036655,0.006563558708876371,0.00012800493277609348,0.007727580610662699
92,17881109-1,0.0024555984418839216,0.0021706270053982735,0.0,0.0029037457425147295,0.0,1.1743225769578203e-07,0.0
93,17905481-1,0.002900893334299326,0.0015810619806870818,0.0016299006529152393,0.0010483369696885347,2.121405273669552e-08,9.89881414170668e-07,0.001974198268726468
94,17948885-1,0.0018406732706353068,0.000641656166408211,0.003694983199238777,0.004500893875956535,0.003648569108918309,0.009470353834331036,0.005111310631036758
95,18155254-1,0.0,0.0011980253038927913,0.0,0.0,0.0001415087463101372,0.0,0.0
96,18160644-1,0.005358102265745401,0.002355338539928198,0.006960089318454266,0.005131784826517105,6.439491784249185e-08,5.2620314818341285e-05,0.0
97,18165281-1,0.002160106087103486,0.0017231109086424112,0.0010616761865094304,0.002762091811746359,0.00043243984691798687,0.00015117663133423775,1.0678978469513822e-05
98,18165283-1,0.0008183465688489377,0.00018532526155468076,3.483936836801149e-07,3.093532086495543e-06,0.0,0.0,0.001366782234981656
99,18184572-1,0.001282417681068182,0.0017236786661669612,2.86331347520985e-10,0.0029229200445115566,0.0021528920624405146,3.065381903866182e-08,0.004280490800738335
100,18243736-1,0.0023784376680850983,0.001092755701392889,0.0,0.001490672118961811,0.0,0.0,0.0
101,18274617-1,0.002843467751517892,0.0006760568940080702,0.005869762971997261,4.642500061891042e-05,4.0376158722210675e-05,0.005057700909674168,1.58345173986163e-05
102,18279361-1,0.0009022188023664057,0.003464691573753953,0.0006905220216140151,0.0010217675007879734,0.0,0.003419790416955948,0.007382590789347887
103,18294660-1,0.0019520425703376532,0.003349137492477894,0.0011435289634391665,0.0042528025805950165,0.00046031016972847283,0.009758828207850456,0.004159192088991404
104,18321871-1,0.00030576533754356205,0.0022014076821506023,4.407116804827638e-08,0.00047509773867204785,1.882288597698789e-05,0.0,0.004879980813711882
105,18322013-1,0.0015485259937122464,0.0008548047044314444,0.0017645657062530518,0.0013267053291201591,0.0,0.0,0.0
106,18420234-1,0.002137844916433096,0.002570223296061158,0.005385629367083311,0.0,2.737297055688259e-10,0.010941390879452229,0.004732354078441858
107,18455740-1,0.0012795127695426345,0.0006354604847729206,0.003526683896780014,2.6397628527519146e-09,0.0,0.0015231724828481674,0.0007721266010776162
108,18471837-1,0.007136126048862934,0.0009479951695539057,0.0,0.012958313338458538,0.0,0.0,0.0
109,18510447-1,0.003513544099405408,0.005098224617540836,0.005428520496934652,0.003815045580267906,0.0024671510327607393,3.2690002171875676e-07,3.0182141927070916e-05
