,id,PositiveTail 1,PositiveTail 2,PositiveTail 3,PositiveTail 4,PositiveTail 5,PositiveTail 6,PositiveTail 7,PositiveTail 8,PositiveTail 9,PositiveTail 10,PositiveTail 11
59,19674742-1,0.0,0.007041193079203367,0.0,2.526674961700337e-06,0.006330979987978935,0.0,0.0,1.459852455809596e-06,0.0,0.0,0.0
60,19720072-1,0.009409978054463863,0.003087943885475397,0.015184842981398106,6.421386933652684e-05,0.005259175784885883,0.02181336283683777,0.0008592153899371624,0.0005324924131855369,8.894067491382884e-07,8.315070772368927e-06,0.030532825738191605
61,19733581-1,6.261816452024505e-05,0.0007109296857379377,0.0028758752159774303,4.013780863232341e-09,0.0,0.005254379939287901,0.0,0.0,2.3922952507859918e-08,0.0,0.0006495261914096773
62,19744566-1,0.0044287266209721565,0.0013215456856414676,0.003976587671786547,0.0009836811805143952,0.004257309250533581,0.0002540215209592134,0.002682887716218829,0.0003852591325994581,0.01451051514595747,0.016213513910770416,1.1086464155596332e-06
63,19786107-1,3.7123970741959056e-07,0.0,0.013233589939773083,6.416028668354556e-07,0.0,0.015854887664318085,0.0,0.0,0.0,0.0,0.0
64,19835893-1,0.006045113783329725,0.0014971286291256547,0.006287990603595972,5.2463124120549764e-06,0.0046520112082362175,0.005967297125607729,0.008644900284707546,0.0,0.0,0.0,0.011135129258036613
65,19895564-1,0.010613885708153248,0.0008724257932044566,0.004122409503906965,0.0,0.0015989671228453517,0.000847361923661083,0.0,9.612401754566235e-07,0.005054157227277756,1.5043500525280251e-06,0.0
66,20007242-1,0.0034497950691729784,3.775707955355756e-05,0.0,0.0018177791498601437,0.004331192933022976,0.0,0.005971808917820454,0.0,7.281477883225307e-05,0.000506698852404952,0.03848043084144592
67,20060480-1,0.0014708718517795205,0.009237648919224739,6.515121640404686e-05,0.025377707555890083,0.014130998402833939,0.0001355491840513423,0.007572965696454048,0.02361268177628517,0.019835809245705605,0.03493987396359444,4.892457582172938e-06
68,20097295-1,0.010708622634410858,0.009004776366055012,0.007253206335008144,0.00022727261239197105,0.010437105782330036,0.004427127540111542,0.006660840008407831,6.901775122969411e-06,4.3652293243212625e-05,0.03271881490945816,0.0
69,20123026-1,0.010940749198198318,0.007459455169737339,0.0007311890949495137,0.0023300640750676394,0.014353166334331036,0.005219421349465847,0.0204864963889122,0.0001451074203941971,0.02231425978243351,0.03668380156159401,0.029145626351237297
70,20147540-1,0.0036862969864159822,0.002083035185933113,0.014490473084151745,0.00012692788732238114,0.004374825861304998,0.009913930669426918,6.355074901875923e-07,2.0339393813628703e-06,0.0036065196618437767,0.002173371147364378,9.211627016725288e-09
71,20226767-1,0.0,0.0035697214771062136,2.9942677315375477e-07,0.0008069309988059103,0.0,0.0,0.0,0.02361578494310379,0.0,1.0074964507111872e-07,0.0
72,20232398-1,0.0,0.0,0.007811177987605333,0.0,0.0,0.012071598321199417,0.0,0.0,0.0,0.0,0.0
73,20350180-1,0.001537559786811471,0.002438898431137204,0.002070448826998472,0.0024601640179753304,0.0037640805821865797,0.006152422167360783,4.249213816365227e-07,0.016511349007487297,0.00038545025745406747,0.00024263249360956252,5.056478767073713e-05
74,20363808-1,0.006812868639826775,0.005343904253095388,0.006473176646977663,0.00900387205183506,0.005831118207424879,0.004839760717004538,1.9883042057244893e-07,0.00017450819723308086,0.0,7.784188404968972e-09,0.0
75,20399796-1,0.00916111096739769,0.003174635348841548,0.012166334316134453,0.012889856472611427,0.004247578792273998,0.009940465912222862,0.015090796165168285,0.013420677743852139,0.031796012073755264,0.01236715167760849,0.0
76,20631183-1,3.583766954307066e-07,0.0,0.01645316183567047,9.020972413509298e-08,0.0,0.013777907006442547,0.0,0.0,0.0,0.0,0.0
77,20637787-1,0.004738349933177233,0.004501463379710913,0.004009861033409834,4.965046969118703e-07,3.199518516794342e-08,0.008216907270252705,0.0,0.016146263107657433,0.0,0.0,0.0
78,20740073-1,0.0008138470002450049,0.0005570937064476311,0.004343546461313963,4.916881568561848e-09,0.0,0.0,0.004876288585364819,0.0,4.054737656744578e-10,0.0,0.0
79,20832483-1,0.0,0.0032696013804525137,0.0,0.0,0.00014709790411870927,0.0,0.0,0.0,0.0,0.0,0.0
80,20974213-1,0.0022406447678804398,0.0,0.0,0.0,2.0225254047545604e-05,0.0,0.0021591216791421175,0.0,0.0,0.0,0.0
81,21316476-1,0.0401662178337574,0.016416406258940697,0.008275868371129036,0.00933227501809597,0.023723918944597244,0.022086361423134804,0.015309399925172329,0.0,0.06957822293043137,0.031762972474098206,0.019785890355706215
82,21455941-1,0.006484022364020348,0.008800948038697243,0.0,0.0,0.010005018673837185,0.0005574760143645108,0.01283382996916771,1.9929727201883907e-08,0.0,0.0,0.0
83,21549721-1,0.008953351527452469,0.002640162594616413,0.005044842604547739,0.0014044578419998288,0.0032760913018137217,0.00012643358786590397,0.0051279617473483086,0.0,0.0,0.0,0.0
84,21550407-1,0.007062526885420084,0.008999939076602459,0.008227720856666565,0.012128624133765697,0.005607001017779112,0.005810011178255081,0.009563006460666656,0.0073260716162621975,0.0,3.4205947940790793e-07,0.0
85,21561699-1,0.0025911203119903803,0.004041606560349464,0.006465247366577387,0.013508941046893597,0.008854025043547153,0.014401493594050407,0.0026242590975016356,0.019530421122908592,0.0,0.001269744010642171,0.0
86,21600227-1,0.011828234419226646,0.017511529847979546,0.0055923014879226685,0.0048822578974068165,0.01424072403460741,0.013377081602811813,0.006140646990388632,0.00013464136281982064,0.01915591023862362,0.0001929638092406094,0.004126336891204119
87,21671743-1,0.010703925043344498,0.010254879482090473,0.006534861866384745,0.02097589150071144,0.011857676319777966,0.005095906089991331,0.007754027843475342,9.279981895815581e-05,1.0134816648132983e-06,0.01870799995958805,0.025097357109189034
88,21736451-1,0.006511305458843708,0.00268033635802567,0.0,1.4120480500423582e-06,0.007739891763776541,0.0,0.01033406425267458,0.0,0.0,0.0014729216927662492,0.0
89,21803063-1,0.010390865616500378,0.0032954264897853136,0.004356323275715113,0.0026880833320319653,0.007664254866540432,0.008397610858082771,0.004029207397252321,0.010481243953108788,0.019603347405791283,6.363018201227533e-07,0.02959330379962921
90,21935483-1,0.0033908411860466003,0.008695204742252827,0.019715409725904465,0.0017113091889768839,0.00527771282941103,0.008591974154114723,0.0,0.020077597349882126,3.4465270637440426e-09,6.894567139426044e-09,7.780031410220545e-06
91,21945808-1,0.009483643807470798,0.005454608704894781,0.01857655681669712,0.025363313034176826,0.0026463386602699757,0.013409432955086231,0.016301307827234268,0.014886031858623028,0.005013056565076113,3.1000196031527594e-05,0.019475121051073074
92,22001165-1,0.00261479988694191,0.0013971914304420352,0.014371960423886776,1.5176005035755225e-05,0.008488183841109276,0.015724318102002144,0.01724037528038025,6.643241956538759e-09,0.0,5.886848157388158e-06,0.0089156124740839
93,22001264-1,0.0019126621773466468,0.00883571244776249,0.007982147857546806,0.0005001769168302417,0.004157267045229673,3.013698005815968e-05,0.001494487514719367,0.0,0.01306290365755558,0.02046629972755909,6.360899533319753e-06
94,22040905-1,0.00871027447283268,0.0054607936181128025,0.007919873110949993,0.004586911294609308,0.0005039150128141046,0.005301524884998798,0.00892354641109705,0.008632246404886246,1.04206765172421e-06,0.00032208370976150036,0.0
95,22049444-1,0.0020317425951361656,0.002255033701658249,0.0002122096630046144,0.0006149567780084908,0.0028420682065188885,3.8412945286836475e-05,0.0028357510454952717,1.005713102131267e-06,0.0002441972028464079,0.02972010150551796,0.0
96,22386970-1,0.0014531812630593777,0.007219480816274881,0.0024562571197748184,0.020625334233045578,0.004285925533622503,4.148141670157202e-06,0.0,0.007966618984937668,0.01578064076602459,0.02146492339670658,1.2462789023004461e-08
97,22421385-1,0.013737302273511887,0.006864001974463463,0.018203463405370712,0.017870381474494934,0.010727236047387123,0.016767999157309532,0.008733447641134262,0.015813762322068214,6.0948791542614345e-06,0.000814914470538497,0.0017818044871091843
98,22422512-1,0.0016990634612739086,0.0,0.0,0.0,0.0,1.1372530472897324e-08,0.0017461759271100163,0.0,0.013614851050078869,0.0,0.0
99,22728150-1,0.00014994913362897933,0.0016833855770528316,0.003959468100219965,3.612402821318028e-09,0.0002924133441410959,0.006147976033389568,0.0,8.002117101568729e-05,0.0,2.2062614846163342e-07,2.7093019494550674e-10
100,22753179-1,0.002868072362616658,0.00502866180613637,0.003833976574242115,0.012518691830337048,0.008252509869635105,0.0043350206688046455,0.00091869558673352,5.536035274644746e-08,0.02096952311694622,0.01262874435633421,5.906278488509997e-08
101,22855822-1,0.002591997617855668,0.01366565190255642,0.012959063984453678,0.02406867779791355,0.006135095842182636,0.01856713742017746,0.010331866331398487,0.03445442393422127,8.697554585523903e-05,0.0007458347245119512,2.1472573280334473e-05
102,22902538-1,0.0018684479873627424,0.006420488934963942,0.0035028024576604366,0.013120044022798538,0.0005198503495194018,0.012841769494116306,0.0011069168103858829,2.539379238442052e-06,0.014319253154098988,0.012466821819543839,0.0
103,23019246-1,0.012756756506860256,0.004454085603356361,1.3805134813082987e-06,5.017226079040427e-10,0.00975476298481226,0.0,0.016554171219468117,0.0015554617857560515,0.0,0.0,4.741278658570991e-08
104,23026757-1,0.0,0.0,0.004321425221860409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,23028774-1,0.003120051696896553,0.002035127254202962,8.35899793827366e-09,1.1826605259557255e-05,0.005406694952398539,0.005506157409399748,0.009896349161863327,0.0,0.0,7.060481493681436e-06,0.0
106,23036282-1,0.006619160529226065,5.025686811155339e-11,0.0025479597970843315,1.0034451741747219e-10,0.002912058960646391,0.007074871100485325,0.010308019816875458,5.626087840937544e-06,0.014554526656866074,0.0,0.036226749420166016
107,23110678-1,0.005341615993529558,0.0027660701889544725,0.0,1.746998066209926e-07,0.004084992688149214,0.0,0.004000293090939522,0.0,0.013226618990302086,4.392506411932118e-07,0.0
108,23147501-1,1.9587752831284888e-05,0.002456295071169734,0.001709965756163001,4.5435999140863714e-07,9.122306892095366e-07,0.0020285265054553747,0.0011581622529774904,7.999016816029325e-06,3.0410534090918873e-09,0.0,5.418603898910135e-10
109,23201363-1,0.008709578774869442,0.004511034116148949,0.004137814044952393,0.012076023034751415,0.004025524016469717,0.005754977930337191,0.011915160343050957,0.0033563803881406784,0.0032160694245249033,4.11316523241112e-06,0.0
110,23206530-1,0.016222959384322166,0.021811945363879204,0.014035159721970558,3.4108405088773e-05,0.018011247739195824,0.006804582662880421,0.0001736089470796287,0.030452197417616844,0.02136664092540741,0.010582809336483479,8.339610940311104e-05
